"mRNA","logFC","FDR","Delta","YA","OA","start","end","diff_exp","gene"
"ENSG00000157227",0.363587691967527,0.242469573064812,27263.7930712358,74985.4675324675,87246.2407407407,22836560,22849027,"No","MMP14"
"ENSG00000077942",0.637046464195524,0.00837813697278019,26544.7292266777,41668.4350649351,58963.8611111111,45502238,45601135,"No","FBLN1"
"ENSG00000184009",0.16392505621443,0.752812609278092,25177.3494421255,153590.61038961,157259.398148148,81509971,81523847,"No","ACTG1"
"ENSG00000182492",0.375060467165658,0.219404133184116,23642.4285102182,63036.3116883117,76833.7962962963,153494980,153509546,"No","BGN"
"ENSG00000197956",0.409213795850264,0.160006950127481,21367.5580515338,52216.1233766234,64492.1388888889,153534599,153536244,"No","S100A6"
"ENSG00000026025",0.281701047693632,0.443930948240087,20079.4586107059,71279.3181818182,82796.3425925926,17228241,17237593,"No","VIM"
"ENSG00000185896",1.01296019099284,2.85653204957488e-06,20023.3288039541,19767.1428571429,32532.0740740741,113297239,113323672,"No","LAMP1"
"ENSG00000166147",0.539602362541975,0.0352295447949189,19959.4884406115,36989.2532467532,50506.2037037037,48408313,48645721,"No","FBN1"
"ENSG00000034510",0.266832916903293,0.48452355596233,17465.4290208968,65454.551948052,73127.787037037,84905656,84906671,"No","TMSB10"
"ENSG00000120708",0.46763036323831,0.0853704286982529,16998.5823360902,36350.4675324675,46708.787037037,136028988,136063818,"No","TGFBI"
"ENSG00000135506",0.545870790777334,0.0323493698687796,16723.1415831713,30635.7142857143,41508.0648148148,57693955,57721557,"No","OS9"
"ENSG00000182718",0.420143993621359,0.143528140724173,15595.9360177674,37120.4545454545,47795.7314814815,60347134,60402883,"No","ANXA2"
"ENSG00000149257",0.380422200335607,0.208948811851196,15459.824642449,40638.5974025974,50066.0740740741,75562056,75572783,"No","SERPINH1"
"ENSG00000197746",0.141539534275375,0.800546676576632,14467.7989630355,102217.37012987,105451.296296296,71816298,71851325,"No","PSAP"
"ENSG00000174807",0.734673510481415,0.00149822517932946,14224.5767680816,19361.7662337662,30758.7685185185,66314494,66317044,"No","CD248"
"ENSG00000163520",0.912429212692579,3.428843332518e-05,14149.2293969044,15507.2077922078,27813.8703703704,13549125,13638422,"No","FBLN2"
"ENSG00000161016",0.197623170220751,0.67498093113567,14024.6465250157,70966.6103896104,75585.9537037037,144789765,144792587,"No","RPL8"
"ENSG00000106366",1.13897709357423,8.51549631095957e-08,13481.8499779836,11836.8051948052,25905.3333333333,101127104,101139247,"No","SERPINE1"
"ENSG00000198712",0.095264064034293,0.888303314960914,13457.6382226394,141266.681818182,142462.12037037,7586,8269,"No","COX2"
"ENSG00000105372",0.271022450375339,0.473214132953089,13124.3888712208,48425.4675324675,53893.2407407407,41860255,41872925,"No","RPS19"
"ENSG00000124942",0.227282566701845,0.595804512342948,12947.9749425097,56968.6233766234,63775.7222222222,62433542,62556235,"No","AHNAK"
"ENSG00000129009",0.661999370355958,0.00550667350776004,12744.4292940412,19251.4220779221,27622.6944444444,74173710,74176872,"No","ISLR"
"ENSG00000142541",0.158500025567122,0.765666902186222,12327.7830827103,77777.7987012987,79195.0833333333,49487510,49493057,"No","RPL13A"
"ENSG00000161638",0.486946394620848,0.0683411080522104,12135.4124396164,24921.4545454545,33605.4166666667,54395261,54419266,"No","ITGA5"
"ENSG00000100097",0.223531507012624,0.606568638544071,11859.5816763215,53055.525974026,57801.8333333333,37675636,37679802,"No","LGALS1"
"ENSG00000146674",0.589275716766594,0.0174526862863023,11709.7732733989,19871.4675324675,27570.9074074074,45912245,45921874,"No","IGFBP3"
"ENSG00000067225",0.166020402904403,0.748828356683272,10371.8098795198,62473.1038961039,67468.2222222222,72199029,72231822,"No","PKM"
"ENSG00000234745",0.120826511760847,0.842419107474946,10266.5981053973,84969.7467532468,87094.9722222222,31353872,31357188,"No","HLA-B"
"ENSG00000168477",1.18136564354672,2.36718760891106e-08,10165.7050611579,8605.04545454545,18904.7222222222,32041153,32115334,"No","TNXB"
"ENSG00000135446",0.799451323572535,0.000417935525416364,10019.9698851776,12533.5584415584,19722.7407407407,57747727,57756013,"No","CDK4"
"ENSG00000049540",0.497540226453677,0.0602317473923386,10013.2684429583,20125.5454545455,26302.3148148148,74027789,74069907,"No","ELN"
"ENSG00000142173",0.0510906683472897,0.94955294703902,9945.10480605243,194655.993506494,188848.518518519,46098112,46132848,"No","COL6A2"
"ENSG00000158710",0.274485684586919,0.463631914237602,9429.91826411751,34354.8636363636,38894.3981481481,159918107,159925507,"No","TAGLN2"
"ENSG00000100234",0.23539784854677,0.57232320176945,9237.12927589952,39240.5,43296.4074074074,32801705,32863041,"No","TIMP3"
"ENSG00000196230",0.19368762889731,0.683555865590303,9116.8276414332,47069.7467532468,49820.5277777778,30720352,30725426,"No","TUBB"
"ENSG00000134333",0.337267724804555,0.30057794517989,9077.56957331524,26915.025974026,31469.2592592593,18394560,18408425,"No","LDHA"
"ENSG00000147403",0.161475001581519,0.759469232771148,9074.99889423954,56200.6428571429,58633.5277777778,154389955,154409168,"No","RPL10"
"ENSG00000111640",0.120794508601577,0.842459594002207,9012.06648730253,74606.5909090909,77494.3333333333,6534512,6538374,"No","GAPDH"
"ENSG00000170801",0.612987592682535,0.0122366879536007,8959.35102630857,14615.8766233766,20798.3333333333,8269754,8307098,"No","HTRA3"
"ENSG00000083444",0.411349148830109,0.156772699860843,8805.59897639912,21406.6298701299,26578.0833333333,11934205,11975538,"No","PLOD1"
"ENSG00000118523",0.553893319805938,0.0289586986124919,8755.16871016059,15806.5974025974,21859.1296296296,131948176,131951372,"No","CCN2"
"ENSG00000162576",0.565455279998067,0.0246010546068959,8742.58119158829,15461.1363636364,20906.8703703704,1352689,1361777,"No","MXRA8"
"ENSG00000137801",0.521617697598063,0.0444380534936141,8678.41783091568,16637.5064935065,23102.5185185185,39581079,39599466,"No","THBS1"
"ENSG00000108107",0.219642616406416,0.617694389759983,8637.61704027301,39325.7792207792,42479.0833333333,55385932,55403250,"No","RPL28"
"ENSG00000102144",0.434372933198538,0.123858920968743,8541.57423229568,19664.1493506493,24611.787037037,77910739,78129295,"No","PGK1"
"ENSG00000177600",0.218718587612608,0.619876684943264,8441.08740601581,38593.3701298701,40899.287037037,809965,812880,"No","RPLP2"
"ENSG00000112936",1.58058040383769,1.52177740106289e-14,8402.99150085722,5316.3961038961,12363.1574074074,40909497,40984643,"UP","C7"
"ENSG00000166441",0.222003845600076,0.610627456007171,8335.71245800346,37547.6038961039,39945.7685185185,8682788,8714759,"No","RPL27A"
"ENSG00000166710",0.0582914997388069,0.942884280347347,8247.40350035989,141485.525974026,140343.703703704,44711487,44718851,"No","B2M"
"ENSG00000065978",0.282522217022993,0.441542609450301,8166.20378225782,28904.6428571429,32632.3518518519,42682418,42703805,"No","YBX1"
"ENSG00000142937",0.155569006230824,0.772555551286361,8127.63706828651,52244.5779220779,53692.0277777778,44775251,44778779,"No","RPS8"
"ENSG00000277443",0.407716968662257,0.162172379560757,8070.81563995061,19795.1428571429,24231.7407407407,113857345,113863475,"No","MARCKS"
"ENSG00000128595",0.309028795794756,0.368609268136614,8056.65160823574,26070.8766233766,30415.8148148148,128739292,128773400,"No","CALU"
"ENSG00000035862",0.130011090311061,0.824488415008958,7988.52046920098,61444.9155844156,60953.0462962963,78852977,78925387,"No","TIMP2"
"ENSG00000044574",0.222997764753091,0.607849950760453,7858.64685121449,35240.9220779221,38172.1574074074,125234853,125241343,"No","HSPA5"
"ENSG00000152661",0.648537886995774,0.00694644513045155,7857.33129090244,12115.4545454545,17724.787037037,121435595,121449727,"No","GJA1"
"ENSG00000177606",0.391669418675065,0.188757703976775,7762.06384637583,19817.8961038961,24498.0092592593,58776845,58784048,"No","JUN"
"ENSG00000104368",1.18638645566198,2.02579885801843e-08,7757.6500688351,6538.88961038961,11180.6203703704,42174718,42207709,"No","PLAT"
"ENSG00000091986",0.189846095023363,0.693749988634445,7696.57026261178,40541.1038961039,43388.2592592593,112596797,112649530,"No","CCDC80"
"ENSG00000142534",0.122710802699252,0.83935586613509,7627.05010060228,62154.6753246753,61911.4907407407,49496365,49499708,"No","RPS11"
"ENSG00000125844",0.327393700443171,0.322692922163788,7519.06403596376,22966.4285714286,26496.8055555556,17613678,17682295,"No","RRBP1"
"ENSG00000011028",0.356778840556913,0.256467028989072,7473.14519620233,20946.1558441558,24868.6851851852,62627670,62693597,"No","MRC2"
"ENSG00000211459",0.275596440084088,0.460631779926588,7458.39308491746,27062.7337662338,30923.6851851852,648,1601,"No","ENSG00000211459"
"ENSG00000197747",0.498021841134928,0.0598485910214106,7453.57597327666,14966.3636363636,19713.1759259259,151982915,151993859,"No","S100A10"
"ENSG00000125730",0.243507817335851,0.549911658477664,7352.71063835806,30194.9675324675,33282.712962963,6677704,6730562,"No","C3"
"ENSG00000100979",0.295940691093158,0.404287651524809,7328.92317260208,24764.8376623377,28614.9907407407,45898621,45912155,"No","PLTP"
"ENSG00000196154",0.592638819603984,0.0166448607899705,7320.66337845478,12352.6558441558,17893.75,153543613,153550136,"No","S100A4"
"ENSG00000106333",0.374302222333571,0.220636914696417,7134.60625684104,19061.0844155844,23418.2407407407,100602363,100608175,"No","PCOLCE"
"ENSG00000102265",0.149197066297417,0.785193545277871,7091.9536944359,47534.1363636364,50093.8333333333,47582408,47586789,"No","TIMP1"
"ENSG00000145592",0.194959015049152,0.680752683343534,6984.35354349541,35824.7272727273,37924.1296296296,40825262,40835222,"No","RPL37"
"ENSG00000136240",0.362248748959595,0.244932923311542,6919.31570614182,19101.0064935065,23143.1018518519,6445953,6484190,"No","KDELR2"
"ENSG00000159403",0.197095735285183,0.675607328015994,6857.37401967863,34792.0974025974,37602.5,7080214,7092540,"No","C1R"
"ENSG00000135047",0.524730132508744,0.042709967456206,6837.19955320371,13029.9350649351,16655.5185185185,87724051,87731469,"No","CTSL"
"ENSG00000089157",0.0828395365921794,0.907626510796131,6810.85153098147,82217.4025974026,82117.0648148148,120196699,120201235,"No","RPLP0"
"ENSG00000179222",0.356054940057648,0.25796102964751,6788.51574259833,19065.9220779221,22447.9351851852,51803007,51902354,"No","MAGED1"
"ENSG00000169439",0.502863978568601,0.0562603843468421,6498.52425644407,12923.025974026,16711.1759259259,96493813,96611790,"No","SDC2"
"ENSG00000167601",0.631926113440316,0.009098859984097,6495.84755236284,10279.4415584416,15603.5555555556,41219223,41261766,"No","AXL"
"ENSG00000211445",0.526935698167987,0.0415280257280552,6434.75055470669,12211.6428571429,16096.7592592593,151020438,151028992,"No","GPX3"
"ENSG00000117984",0.318661838269296,0.344377742803061,6382.50692795375,20029.0909090909,22818.8888888889,1752752,1764573,"No","CTSD"
"ENSG00000137818",0.0752517732878395,0.920464187608052,6332.23539924576,84147.3246753247,84640.3333333333,69452814,69456205,"No","RPLP1"
"ENSG00000142552",0.761470578768846,0.000890409611006792,6214.09932878272,8160.65584415584,12916.0833333333,49528003,49546962,"No","RCN3"
"ENSG00000129538",0.261933714208252,0.499889111785574,6187.61420729814,23622.8246753247,26383.9259259259,20801228,20802855,"No","RNASE1"
"ENSG00000104419",0.464253466853995,0.0887764169398705,6174.24854343765,13299.3051948052,17611.3518518519,133237175,133302022,"No","NDRG1"
"ENSG00000175215",0.241217966336285,0.557104327749817,6167.49855569648,25568.1558441558,28370.7407407407,57819927,57846729,"No","CTDSP2"
"ENSG00000162745",0.444353550559366,0.111306000021099,6116.85844590625,13765.7467532468,17348.5092592593,161983192,162023854,"No","OLFML2B"
"ENSG00000206538",1.40454825580196,1.31640633991433e-11,6089.95706917936,4335.88311688312,10280.3518518519,86876388,86991149,"No","VGLL3"
"ENSG00000132386",0.284621743974445,0.435512716649228,6011.49215809797,21120.987012987,23164.5277777778,1762029,1777565,"No","SERPINF1"
"ENSG00000115677",0.19292855574772,0.68542435082714,5996.30971300285,31080.4675324675,33215.7962962963,241227264,241317061,"No","HDLBP"
"ENSG00000136942",0.22630355067849,0.599220994040253,5953.8921204756,26309.3181818182,28213.1388888889,124857880,124861981,"No","RPL35"
"ENSG00000198899",0.0689668399874539,0.928886111157561,5876.5963641642,85209.012987013,84078.2962962963,8527,9207,"No","ATP6"
"ENSG00000179218",0.142875799058291,0.79755712132462,5864.69157855042,41047.4805194805,42251.287037037,12938578,12944489,"No","CALR"
"ENSG00000173372",0.214867825984208,0.632121592218745,5763.46806340996,26823.3181818182,28230.7407407407,22636628,22639678,"No","C1QA"
"ENSG00000087245",0.08096716552935,0.910003106773189,5760.55935917873,71146.8571428571,68086.0185185185,55389700,55506691,"No","MMP2"
"ENSG00000112306",0.124748780626405,0.835729338939095,5667.24718752869,45429.2792207792,45109.9907407407,132814569,132817564,"No","RPS12"
"ENSG00000173369",0.226890847966878,0.596984921619787,5612.73150470416,24737.5844155844,26331.4814814815,22652762,22661637,"No","C1QB"
"ENSG00000084636",0.366160216509448,0.237257653719587,5451.42896834882,14888.0974025974,17270.212962963,31652263,31704319,"No","COL16A1"
"ENSG00000083845",0.181859342027945,0.714716536616808,5420.64361887277,29806.7922077922,30791.5740740741,58386400,58394806,"No","RPS5"
"ENSG00000002586",0.192068516913009,0.687644679594405,5372.27240748591,27970.6038961039,29689.9259259259,2691187,2741309,"No","CD99"
"ENSG00000170458",0.36714107074544,0.235313878610845,5330.67378426037,14519.4155844156,17010.9907407407,140631728,140633701,"No","CD14"
"ENSG00000221983",0.171287222150275,0.738172338810224,5211.16903789047,30423.5714285714,31451.6944444444,18571730,18577550,"No","UBA52"
"ENSG00000168028",0.165504846056447,0.749995132698441,5200.58354815627,31422.5454545455,32536.6851851852,39406716,39412542,"No","RPSA"
"ENSG00000159674",0.52701833173276,0.0414828463280501,5191.3393215822,9850.3961038961,12002.1296296296,1166932,1208962,"No","SPON2"
"ENSG00000111669",0.217900975003494,0.622397854095948,5112.50728578506,23462.525974026,25369.4814814815,6867119,6870948,"No","TPI1"
"ENSG00000030582",0.182691155575343,0.712337796614068,5109.33778365009,27967.0779220779,29732.3703703704,44345246,44353106,"No","GRN"
"ENSG00000166825",1.13005969855998,1.10883071086421e-07,5045.89266727009,4465.15584415584,9823.99074074074,89784895,89815401,"No","ANPEP"
"ENSG00000101825",0.240868287155571,0.558268079185155,5040.93217966625,20928.1688311688,23017.8055555556,3308565,3346652,"No","MXRA5"
"ENSG00000137745",1.51494815109453,2.03815936187166e-13,5035.92375005398,3324.15584415584,10088.0277777778,102942995,102955732,"UP","MMP13"
"ENSG00000168140",0.885357844431435,6.45414670970107e-05,4947.86255714346,5588.54545454545,9769.82407407407,4371848,4383538,"No","VASN"
"ENSG00000118705",0.291384863878361,0.417491018187441,4925.16293545609,16902.6038961039,19347.0925925926,37178410,37241619,"No","RPN2"
"ENSG00000105974",0.260372130224011,0.50394303766236,4860.88391769582,18668.987012987,21716.0555555556,116524994,116561179,"No","CAV1"
"ENSG00000135046",0.275778821669958,0.460319632810046,4800.45150569228,17406.8896103896,19733.6203703704,73151865,73170393,"No","ANXA1"
"ENSG00000124212",0.48329931099617,0.0714174336470028,4793.0738421963,9917.4025974026,13282.8981481481,49503874,49568137,"No","PTGIS"
"ENSG00000089009",0.132856575777431,0.819479266926017,4787.25118966447,36033.2272727273,38217.3796296296,112405190,112418838,"No","RPL6"
"ENSG00000183087",0.367121537969603,0.235332460215519,4759.1156920045,12963.3246753247,15648.3148148148,113820549,113864076,"No","GAS6"
"ENSG00000204262",0.107468817813215,0.86725928449795,4750.90194304746,44207.2597402597,43438.3981481481,189031898,189225312,"No","COL5A2"
"ENSG00000122218",0.316138030395571,0.350627879200483,4735.3330207663,14978.6883116883,17684.5925925926,160288594,160343273,"No","COPA"
"ENSG00000104904",0.212044667187102,0.638441505730127,4720.23545996615,22260.5714285714,24035.6574074074,2269509,2273490,"No","OAZ1"
"ENSG00000142676",0.109031804483773,0.864559543499229,4688.58282441627,43001.974025974,42576.25,23691742,23696835,"No","RPL11"
"ENSG00000113083",0.915031482346628,3.2196744594333e-05,4643.50551005414,5074.6948051948,9027.89814814815,122063195,122078413,"No","LOX"
"ENSG00000113721",0.226754577263685,0.597432973785411,4619.86978095623,20373.8766233766,22812.3425925926,150113839,150155872,"No","PDGFRB"
"ENSG00000153071",0.461948360133633,0.0911443081698347,4602.75747110188,9963.79220779221,12827.8333333333,39371675,39462300,"No","DAB2"
"ENSG00000100342",0.531626302156444,0.0391197674404371,4584.77284674793,8624.05194805195,11741.2314814815,36253071,36267530,"No","APOL1"
"ENSG00000101160",0.273549381902763,0.46665254089686,4572.98541128787,16717.2207792208,18902.2592592593,58995185,59007254,"No","CTSZ"
"ENSG00000185624",0.1517340971424,0.780740829734038,4558.01739639547,30039.5064935065,31183.0462962963,81843161,81860624,"No","P4HB"
"ENSG00000108953",0.244190643300088,0.548057947271082,4552.02755051217,18641.2857142857,20111.9259259259,1344275,1400222,"No","YWHAE"
"ENSG00000177954",0.126326152050827,0.832475614253776,4480.25541844522,35465.7792207792,35452.3518518519,153990762,153992155,"No","RPS27"
"ENSG00000170889",0.110155675182823,0.862663293957814,4455.9222380488,40451.1363636364,39711.75,54200809,54249003,"No","RPS9"
"ENSG00000167004",0.20162228034557,0.664110797431699,4445.49896061779,22048.6493506493,23973.5,43746410,43773278,"No","PDIA3"
"ENSG00000142192",0.0817768152149739,0.908932889996493,4423.4459997309,54091.6883116883,52547.4537037037,25880550,26171128,"No","APP"
"ENSG00000105193",0.106976070720203,0.868329566366859,4387.86319477352,41017.2402597403,41118.0185185185,39433137,39435949,"No","RPS16"
"ENSG00000164111",0.151585394192148,0.780972629444254,4357.5544557483,28746.5324675325,30311.2777777778,121667946,121696995,"No","ANXA5"
"ENSG00000142871",0.289871340389367,0.421121092700841,4348.44844440816,15001.3051948052,16894.8611111111,85580761,85584589,"No","CCN1"
"ENSG00000171858",0.229774665755873,0.588740896617428,4316.87362836906,18787.4220779221,20505.537037037,62387103,62388520,"No","RPS21"
"ENSG00000117385",0.591034886828425,0.0170244454707409,4309.4617953097,7291.38311688312,10123.5,42746335,42767084,"No","P3H1"
"ENSG00000197766",0.985336635262186,5.81265941454918e-06,4301.06479410767,4365.07142857143,8332.15740740741,859664,863641,"No","CFD"
"ENSG00000136859",0.242597380720189,0.55300723509626,4264.96907398228,17580.4415584416,18998.4351851852,127087348,127122635,"No","ANGPTL2"
"ENSG00000112977",0.420635700246953,0.142885574528347,4251.18201855234,10106.5649350649,12604.4537037037,10679230,10761234,"No","DAP"
"ENSG00000166482",0.113270444357628,0.85775856443552,4229.57649858074,37340.512987013,39814.3055555556,19383442,19387190,"No","MFAP4"
"ENSG00000113758",0.329793525654342,0.317682846590959,4214.62634232926,12779.5909090909,15078.5,177456608,177474401,"No","DBN1"
"ENSG00000089597",0.166339511610801,0.748276800573737,4202.4759500775,25264.4480519481,26720.2314814815,62624826,62646726,"No","GANAB"
"ENSG00000123989",0.398093262193111,0.178003183872758,4172.0328979109,10480.038961039,12979.75,219538948,219543809,"No","CHPF"
"ENSG00000125148",0.269949667088072,0.476648851979565,4168.78012124361,15442.8051948052,17396.5555555556,56608584,56609497,"No","MT2A"
"ENSG00000108518",0.157596064333197,0.767598017068622,4092.22434461435,25966.538961039,27091.5648148148,4945652,4949061,"No","PFN1"
"ENSG00000147872",0.573110180843731,0.0220489073244437,4081.08782583076,7120.94805194805,9864.17592592593,19108375,19149290,"No","PLIN2"
"ENSG00000115268",0.225394359714246,0.601651848192107,4065.15412781661,18035.7402597403,20057.0925925926,1438358,1440495,"No","RPS15"
"ENSG00000140105",0.420321227756644,0.143331557934707,4050.02702491811,9635.55194805195,12523.6944444444,100333790,100376805,"No","WARS1"
"ENSG00000154736",1.09347528772797,3.16332669957631e-07,4036.64923051438,3691.57792207792,7465.32407407407,26917922,26967088,"No","ADAMTS5"
"ENSG00000167468",0.295768431873056,0.404841117337548,3997.82699123301,13516.7467532468,15666.1481481481,1103926,1106791,"No","GPX4"
"ENSG00000130508",0.206881759690231,0.651223983763475,3993.0503681541,19301.1233766234,20238.1296296296,1631887,1744852,"No","PXDN"
"ENSG00000058262",0.184329573465764,0.708505436288092,3977.07452902752,21575.8896103896,22782.3981481481,128051641,128071683,"No","SEC61A1"
"ENSG00000159189",0.195573108821428,0.679598029327103,3952.75223153967,20211.1233766234,21516.3981481481,22643633,22648110,"No","C1QC"
"ENSG00000144713",0.0870826791270659,0.900813672705272,3923.96870581523,45060.2662337662,44312.1203703704,12834485,12841582,"No","RPL32"
"ENSG00000132205",0.698681207256726,0.00290904156109523,3912.99132258703,5600.53896103896,8476.62962962963,2847006,2916003,"No","EMILIN2"
"ENSG00000167779",0.671769937370975,0.00467011422262191,3837.97432718615,5713.22727272727,8547.58333333333,53097436,53102345,"No","IGFBP6"
"ENSG00000204525",0.0692137777998373,0.928721167850242,3795.90694628052,54843.2272727273,54778.8425925926,31268749,31272130,"No","HLA-C"
"ENSG00000196549",1.26783127486847,1.52454491363488e-09,3763.65593149443,2968.57792207792,7053.84259259259,155024124,155183704,"No","MME"
"ENSG00000130175",0.17204636904605,0.736180802759467,3749.73273841123,21794.8961038961,23340.9259259259,11435284,11450968,"No","PRKCSH"
"ENSG00000112473",0.330797810713588,0.315454346277998,3747.10146066951,11327.4675324675,13137.1203703704,33200445,33204439,"No","SLC39A7"
"ENSG00000010810",0.550235971126513,0.0305265772273542,3744.55944228446,6805.37012987013,9433.92592592593,111660332,111873452,"No","FYN"
"ENSG00000087116",0.3848466951655,0.201043468446243,3729.44186565476,9690.72077922078,11684.7222222222,179110853,179345461,"No","ADAMTS2"
"ENSG00000169100",0.113929714615,0.856544387721333,3713.60415057,32595.5714285714,33043.7222222222,1386152,1392113,"No","SLC25A6"
"ENSG00000108679",0.135643953077447,0.812884742896505,3709.73528076399,27349.0649350649,28305.4814814815,78971238,78979947,"No","LGALS3BP"
"ENSG00000130255",0.147134944925606,0.789310533913312,3705.69199638857,25185.6688311688,25376.8148148148,5674947,5691875,"No","RPL36"
"ENSG00000188042",0.749027856870527,0.00113813109439274,3701.88049370973,4942.24675324675,7561.22222222222,234493041,234497081,"No","ARL4C"
"ENSG00000137309",1.06830132019838,6.43267424868489e-07,3694.6021865396,3458.38961038961,6965.2037037037,34236873,34246231,"No","HMGA1"
"ENSG00000131459",0.779118566465296,0.000630107903109924,3689.6373925717,4735.65584415584,7646.93518518519,180300698,180353336,"No","GFPT2"
"ENSG00000175203",0.459377763492406,0.093773952121123,3682.18422488824,8015.59090909091,10258.7685185185,57529633,57547224,"No","DCTN2"
"ENSG00000197102",0.170013378630554,0.741097799935958,3681.07778690877,21651.6948051948,22607.2685185185,101964573,102056443,"No","DYNC1H1"
"ENSG00000177469",0.0936712256637679,0.891415009599531,3677.87841649071,39263.6948051948,39396.6666666667,42402449,42423256,"No","CAVIN1"
"ENSG00000049323",0.269215665407857,0.479088711491638,3652.97512684351,13568.9545454545,15170.4444444444,32946953,33399509,"No","LTBP1"
"ENSG00000075618",0.253733971466869,0.523050579524196,3649.43429250649,14382.9155844156,16010.2407407407,5592816,5606655,"No","FSCN1"
"ENSG00000135679",0.326834572741122,0.323807585671903,3646.17710501206,11156.0324675325,12966.5833333333,68808177,68850686,"No","MDM2"
"ENSG00000140988",0.0813427591701212,0.909708200313607,3585.77739152429,44082.3181818182,43269.5833333333,1962058,1964841,"No","RPS2"
"ENSG00000100292",0.795071826276435,0.000457106649352531,3556.20139481249,4472.8051948052,7441.23148148148,35380361,35394214,"No","HMOX1"
"ENSG00000168079",0.767773140540456,0.000787848013942592,3548.02426309378,4621.18831168831,7487.4537037037,27869883,27992673,"No","SCARA5"
"ENSG00000138326",0.0798001982272024,0.911872175706421,3534.85963529227,44296.3766233766,43334.2407407407,78033760,78056813,"No","RPS24"
"ENSG00000103855",0.290234507588582,0.420264224945344,3523.6843867225,12140.8181818182,13708.212962963,73683966,73714514,"No","CD276"
"ENSG00000176845",0.624506583476272,0.0102608384490954,3521.26414998074,5638.47402597403,7847.72222222222,83079609,83095122,"No","METRNL"
"ENSG00000206503",0.0673267017373094,0.931800495199277,3519.0735791113,52268.6168831169,51105.5833333333,29941260,29945884,"No","HLA-A"
"ENSG00000101955",0.521310371814278,0.0446119262327565,3515.17891148225,6742.96753246753,9020.22222222222,38149336,38220924,"No","SRPX"
"ENSG00000134853",0.570866851649801,0.022769068317293,3503.26529839811,6136.74675324675,7920.32407407407,54229280,54298245,"No","PDGFRA"
"ENSG00000265972",0.0979731888222515,0.884409714547484,3477.69893513367,35496.4350649351,34672.6296296296,145992435,145996579,"No","TXNIP"
"ENSG00000115380",0.477873323030664,0.0761027006376111,3470.33779336337,7262.04545454545,9236.99074074074,55865967,55924139,"No","EFEMP1"
"ENSG00000100600",0.275708327147511,0.460466431280504,3464.8587729114,12567.1168831169,14354.5833333333,92703807,92748679,"No","LGMN"
"ENSG00000105640",0.149374120208981,0.785193545277871,3464.73853801824,23195.038961039,23732.0092592593,17859910,17864153,"No","RPL18A"
"ENSG00000101294",0.349606913525023,0.272704453687122,3440.91069902999,9842.22727272727,11855.5,31514410,31577923,"No","HM13"
"ENSG00000070756",0.0717345969008612,0.925014809912971,3427.56847526474,47781.2467532468,46751.6481481481,100685816,100722809,"No","PABPC1"
"ENSG00000168374",0.240261285693295,0.559866104969036,3419.19892029497,14231.1688311688,15472.8333333333,57571363,57598220,"No","ARF4"
"ENSG00000134013",0.328934290454834,0.319626124836943,3413.95133033304,10378.8246753247,11823.4259259259,23296897,23425328,"No","LOXL2"
"ENSG00000148248",0.214044216336621,0.634641175367796,3359.56018535912,15695.6363636364,16996.7037037037,133361450,133376166,"No","SURF4"
"ENSG00000178209",0.140964043410535,0.801853638664442,3333.24034724017,23646.0324675325,24530.2685185185,143915153,143976734,"No","PLEC"
